"id","accident_situation","base_fault_explanation","case_code","legal_reference","modifier_explanation","precedent","usage_note"
52,"NaN","⊙도로교통법은 좌회전하는 차량은 직진하려는 다른 차가 있을 때에는 진로를 양보하여야 한다고 규정하고, 적색등화가 점멸하는 신호등이 설치된 도로에서 교차로에 진입하려는 차량은 교차로 진입 전 일시정지 한 후 다른 교통에 주의하여 진행할 수 있다고 규정하고 있으며 황색등화가 점멸하는 신호등이 설치된 도로에서 진행하는 차량은 다른 교통 또는 안전표지의 표시에 주의하면서 진행할 수 있다고 규정하고 있다. 따라서 일시정지 및 양보 의무가 부과된 적색점멸신호에 좌회전하려는 A차량은 교차로에 접근하고 있는 다른 차량 에게 진로를 양보할 높은 주의의무를 부담하므로 양 차량의 기본과실을 80:20으로 정하 였다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-7","NaN","NaN","NaN","NaN"
53,"NaN","⊙적색등화가 점멸하는 신호등이 설치된 도로에서 교차로에 진입하려는 A차량은 교차로 진입 전 일시정지하여 교차로에 접근하는 다른 차량에게 진로를 양보할 주의의무를 부담 하고 이 경우 황색등화가 점멸하는 신호등이 설치된 도로에서 진입하는 차량이 좌회전을 하고 있는 경우에도 A차량은 여전히 일시정지하여 진로를 양보할 주의의무를 부담한다고 할 것이어서 황색등화가 점멸하는 신호등이 설치된 도로에서 좌회전하기 위하여 진입 하는 B차량 보다 A차량의 과실을 무겁게 평가하여 양 차량의 기본과실을 60:40으로 정하였다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-8","NaN","NaN","NaN","NaN"
54,"⊙교차로에서 정상신호에 따라 좌회전하는 A차량과 맞은편에서 교차로 적색신호에 우회전 하는 B차량이 충돌한 사고이다.","⊙같은 방향의 차로를 향한 동시진로변경의 성격을 가지는 것이나 좌회전 차량은 좌회전 신호에 따라 진행하고 있어 통행우선권이 있고, 교차로 적색 신호에 우회전 차량은 신호에 따라 진행하는 차량의 교통을 방해하지 않으면서 우회전을 하여야 할 의무가 있다는 점을 감안하여 양 차량의 기본 과실비율을 20:80으로 정한다.","차4-1","NaN","① A가 정상적인 좌회전 궤도로 좌회전하지 않고 정상 궤도를 이탈하여 크게 회전(대좌회전) 하는 행위는 우회전 차량으로 하여금 회전반경을 예측하기 어렵게하여 사고위험을 가중하는 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
55,"⊙신호기에 의해 교통정리가 이루어지고 한쪽 방향에 비보호좌회전 표지가 있는 교차로에서 녹색신호에 비보호좌회전을 하는 A차량과 맞은 편에서 우회전하는 B차량이 충돌한 사고 이다.","⊙도로교통법은 비보호좌회전 표지가 설치된 교차로에서 좌회전하려는 차량은 진행신호시 반대방면에서 오는 차량에 방해가 되지 아니하도록 좌회전을 조심스럽게 할 수 있다고 규정 하고 있고 교통정리를 하고 있지 아니하는 교차로에서 좌회전하려는 차량은 그 교차로에서 우회전하려는 다른 차가 있을 때에는 그 차에 진로를 양보하여야 한다고 규정하여 우회전 차량에게 진행의 우선권을 인정하고 있다. 다만 우회전하는 차량도 교차로에서 진행하는 다른 차량에 주의하여 진행하여야 하는 점을 고려하여 양 차량의 기본과실을 60:40으로 정하였다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차4-2","NaN","NaN","NaN","NaN"
56,"⊙신호기에 의한 교통정리가 한쪽 방향에만 이루어지고 있는 교차로에서 신호기가 없는 도로를 이용하여 우회전하는 A차량과 신호기가 있는 교차도로를 이용하여 직진하는 B차량이 충돌한 사고이다.","⊙(가) B차량이 녹색신호에 직진한 경우에는 A차량에 대하여 통행우선권이 있으나, A차량이 진행한 방향에는 신호기가 없으므로 신호위반의 과실을 묻기 어렵고, B차량은 이러한 교차로를 통과함에 있어 전방좌우를 철저히 살피고 안전운전을 해야 할 주의의무가 있으 므로 양 차량의 기본 과실비율을 80:20으로 정한다. A차량 전방 교차로 신호기가 있고 적색일 때 우회전하는 경우에도 마찬가지이다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차5-1","NaN","NaN","NaN","NaN"
57,"⊙양 방향 모두 신호기에 의한 교통정리가 이루어지고 있는 교차로에서 횡단보도 보행자 신호에 우회전하는 A차량과 녹색신호에 직진하는 B차량이 충돌한 사고이다.","⊙신호기가 있는 교차로에서 신호는 양 차량 운전자가 신뢰하는 것으로, B차량은 A차량이 횡단보도 보행자신호에 신호를 위반하여 우회전할 것을 예상하고 주의해야 할 이유가 없으므로 A차량의 일방과실(100:0)로 정한다.","차5-2","NaN","⊙회전차량이 우측단을 따라 우회전 하지 않고 크게 우회전하는 경우 도로교통법 제25조상 우회전 방법에 위반되고 나아가 직진차량과의 사고 위험성이 상당 부분 증가하므로 과실을 10%까지 가산할 수 있다. ⊙양 차량의 현저한 과실 내지 중과실은 양 차량 진입 시점, 양 차량 진행 속도, 기타 충격부위 등 여러 사정을 비교하여 가감산할 수 있다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
58,"⊙신호기에 의한 교통정리가 한쪽 방향에만 이루어지고 있는 교차로에서 신호기가 있는 도로를 이용하여 직진하는 B차량과 신호기가 없는 도로를 이용하여 직진(좌회전)하는 A차량이 충돌한 사고이다.","⊙(가) B차량이 녹색신호에 직진한 경우에는 A차량에 대하여 통행우선권이 있으나, A차량이 진행한 방향에는 신호기가 없으므로 신호위반의 과실을 묻기 어렵고, B차량은 이러한 교차로를 통과함에 있어 전방좌우를 철저히 살피고 안전운전을 해야 할 주의의무가 있으 므로 양 차량의 기본 과실비율을 80:20으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차6-1","NaN","NaN","NaN","NaN"
59,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 교차로에 서 일시정지 표지가 없는 도로를 이용해 교차로에 진입하여 직진 중인 A차량과 일시정지 표지가 있는 도로를 이용해 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙도로교통법 제25조 제6항에 따라 일시정지 표지가 있는 곳에서는 일시정지를 할 의무가 있어 이를 위반한 B차량의 과실이 중하지만, 신호기 없는 교차로를 진행하는 A차량도 도로 교통법 제31조에 따라 서행 또는 일시정지를 준수하고 다른 차량의 유무와 동태를 살피면서 진행하여야 할 주의의무가 있다는 점을 고려하여 양 차량의 기본 과실비율을 20:80으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차7-1","NaN","NaN","NaN","NaN"
60,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽 도로가 일방통행로인 교차로에서 일방통행로가 아닌 도로를 이용하여 교차로에 진입하여 직진 중인 A차량과 일방통행로를 역주행하여 교차로에 진입한 B차량이 충돌한 사고이다.","⊙도로교통법 제5조 제1항 및 동법 시행규칙 별표6에 따라 일방통행 표지가 있는 곳에서는 지시방향이 아닌 방향으로 주행한 B차량의 과실이 중하지만, 신호기 없는 교차로를 진행 하는 A차량도 도로교통법 제31조에 따라 서행 또는 일시정지를 준수하고 다른 차량의 유무와 동태를 살피면서 진행하여야 할 주의의무가 있다는 점을 고려하여 양 차량의 기본 과실비율을 20:80으로 정한다.","차7-2","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
61,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 동일 폭의 교차로에서 직진하는 A차량과 교차도로에서 일시정지의무를 위반하여 좌회전하는 B차량이 충돌한 사고이다.","⊙도로교통법 제25조 제6항에 따라 일시정지 표지가 있는 곳에서는 일시정지의무가 있고, 동법 제26조 제4항에 따라 직진차량이 좌회전차량보다 통행우선권이 있으므로 일시정지 의무를 위반한 좌회전차량의 과실이 중하다고 보이지만, 직진차량도 동법 제31조에 따라 교차로 진입 전 서행 또는 일시정지를 준수하고 전방 및 좌우를 주의해야 하는 의무가 있어 양 차량의 기본 과실비율을 20:80으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차8-1","NaN","NaN","NaN","NaN"
62,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 교차로에서 일시정지 의무를 위반하여 직진하는 A차량과 A차량의 진행방향 오른쪽 도로에서 진입하여 좌회전하는 B차량이 충돌한 사고이다.","⊙도로교통법 제25조 제6항에 따라 일시정지 표지가 있는 곳에서 일시정지의무가 있다는 점에서 A차량이 직진차량임에도 불구하고 일시정지의무를 위반한 과실이 크다고 보아 양 차량의 기본 과실비율을 70:30으로 정한다.","차8-2","NaN","① 직진차량이 일시정지를 하였으나 좌우의 안전 확인이 불충분했던 경우이다. 직진차량이 일시 정지한 경우에는 좌회전차량과 충돌을 회피할 여지가 크므로 직진차량인 A차량의 과실을 감산할 수 있다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
63,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 교차로에서 일시정지의무를 위반하여 직진하는 A차량과 A차량의 진행방향 왼쪽 도로에서 진입하여 좌회전하는 B차량이 충돌한 사고이다.","⊙일시정지의무를 위반한 직진차량이 오른쪽에서 진입한 경우에는 도로교통법 제26조 제3항을 감안하여 직진차량인 A차량의 비율을 차8-2 대비 10% 낮추어 양 차량의 기본 과실비율을 60:40으로 정하였다.","차8-3","NaN","① 직진차량이 일시정지를 하였으나 좌우의 안전 확인이 불충분했던 경우이다. 직진차량이 일시 정지한 경우에는 좌회전차량과 충돌을 회피할 여지가 크므로 직진차량인 A차량의 과실을 감산할 수 있다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
64,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 교차로에서 일시정지 표지를 위반하여 우회전하는 A차량과 일시정지 표지가 없는 도로에서 직진하는 B차량이 충돌한 사고이다.","⊙도로교통법 제25조 제6항에 따라 일시정지 표지가 있는 곳에서는 일시정지 의무가 있으므로 이를 위반한 우회전 A차량의 과실이 중하지만, 동법 제31조에 따라 B차량도 교차로 진입 시 서행 또는 일시정지하여 전방 및 좌우를 살피면서 진행하여야 할 주의의무가 있다는 점을 감안하여 양 차량의 기본 과실비율을 80:20으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차9-1","NaN","NaN","NaN","NaN"
65,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 교차로에서 일시정지 표지를 위반하여 직진하는 A차량과 일시정지 표지가 없는 교차로에서 우회전 하는 B차량이 충돌한 사고이다.","⊙도로교통법 제25조 제6항에 따라 일시정지 표지가 있는 곳에서는 일시정지 의무가 있으 므로 이를 위반한 직진 A차량의 과실이 중하지만, 도로교통법 제25조 제1항, 동법 제31 조에 따라 B차량도 교차로 진입시 서행 또는 일시정지하여 전방 및 좌우를 살피면서 진행하여야 할 주의의무가 있다는 점을 감안하여 양 차량의 기본 과실비율을 80:20으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차9-2","NaN","NaN","NaN","NaN"
66,"⊙신호기에 의해 교통정리가 이루어지고 있지 않고 한쪽에 일시정지 표지가 있는 교차로에 서 일시정지 표지를 위반하여 좌회전하는 A차량과 일시정지 표지가 없는 도로를 이용하여 좌회전하는 B차량이 충돌한 사고이다.","⊙도로교통법 제25조 제6항에 따라 일시정지 표지가 있는 곳에서는 일시정지를 할 의무가 있어 이를 위반한 A차량의 과실이 중하지만, 신호기 없는 교차로를 진행하는 B차량도 도로교통법 제25조 제2항 및 제31조에 따라 서행 또는 일시정지를 준수하고 전방좌우를 주시해야 한다는 점을 고려하여 기본 과실비율을 80:20으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차10-1","NaN","NaN","NaN","NaN"
67,"NaN","NaN","차11-1","NaN","NaN","NaN","NaN"
68,"⊙신호기에 의하여 교통정리가 이루어지고 있는 교차로에서 직진 및 좌회전 신호에 따라 직진 및 좌회전 노면표시가 된 차로에서 직진하는 A차량과 직진 노면표시가 된 오른쪽 차로에서 좌회전하는 B차량이 충돌한 사고이다.","⊙B차량은 도로교통법 제25조 제2항의 교차로 통행방법을 위반하였고 직진 노면표시차로 에서 좌회전하여 중대한 안전운전 불이행의 과실이 있는 점, 신호에 따라 정상 직진 중인 A차량으로서는 오른쪽 차로에서 좌회전을 할 것으로 예측하기 어렵다는 점 등을 고려하여 B차량의 일방과실로 보아 양 차량의 기본 과실비율을 0:100으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차11-2","NaN","NaN","NaN","NaN"
69,"⊙신호기에 의하여 교통정리가 이루어지고 있지 않은 교차로에서 좌회전 노면표시가 된 1차로에서 직진하는 A차량과 직진 노면표시가 된 2차로에서 좌회전하는 B차량이 충돌한 사고이다. ⊙신호기에 의하여 교통정리가 이루어지고 있는 교차로에서 직진 및 좌회전 신호가 등화된 상태에서 발생한 사고의 경우에도 준용할 수 있다.","⊙노면에 진행방향표시가 설치된 차로의 경우 차량의 운전자는 지정한 통행방법에 따라 통행 하여야 할 주의의무를 부담하므로 좌회전표지가 설치된 1차로에서 직진한 A차량과 직진 표지가 설치된 2차로에서 좌회전한 B차량은 모두 지정된 통행방법에 따라 진행하지 아니한 과실이 인정된다. 다만 직진표지가 설치된 2차로에서 좌회전한 B차량은 교차로 안쪽을 따 라 좌회전하여야 하는 교차로통행방법을 위반한 채 2차로에서 1차로를 가로지르는 방식 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차11-3","NaN","NaN","NaN","NaN"
70,"⊙신호기 등에 의하여 교통정리가 이루어지는 교차로에서 직진 녹색신호에 후행하던 A차량이 직진노면표시 차로에서 추월하여 우회전 하던 중 직진 및 우회전 노면표시가 된 오른쪽 차로에서 직진하던 B차량과 충돌한 사고이다.","⊙A차량은 도로교통법 제25조 제1항의 교차로 통행방법을 위반하였고, 직진 노면표시 차로 에서 우회전하여 중대한 안전운전 불이행의 과실이 있으며, 도로교통법 제22조의 앞지르기 금지의 시기 및 장소를 위반한 점을 고려 기본 과실비율을 100:0으로 본다.","차11-4","NaN","① 도로교통법 제20조 진로양보의무에 따라 피추월차량은 추월차량보다 계속하여 느리게 진행하고자 할 때에는 도로 오른쪽으로 피하여 진로를 양보하여야 할 의무가 있으므로, 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
71,"⊙신호기에 의하여 교통정리가 이루어지고 있는 교차로에서 직진 신호에 따라 직진 및 우회전 노면표시가 된 차로에서 선행 우회전을 하는 A차량과 우회전 노면표시가 된 오른쪽 차로 에서 후행 직진하는 B차량이 충돌한 사고이다.","⊙B차량이 우회전 노면표시 차로에서 직진하여 중대한 안전운전 불이행의 과실이 있으며, B차량의 주행차로가 교차로 이후 차로가 감소하여 교차로 내 차로변경 없이 직진이 현실적 으로 불가능한 점 등을 고려할 때, 교차로 내에서 무리하게 직진한 B차량의 일방과실로 보아 기본 과실비율을 0 : 100으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차11-5","NaN","NaN","NaN","NaN"
72,"⊙신호기에 의하여 교통정리가 이루어지고 있지 않은 교차로에서 직진 노면표시가 된 2차로에 서 우회전하는 B차량과 우회전 노면표시가 된 3차로에서 직진하는 A차량이 충돌한 사고이다. ⊙신호기에 의하여 교통정리가 이루어지고 있는 교차로에서 직진 신호가 등화된 상태에서 발생 한 사고의 경우에도 준용할 수 있다.","⊙노면에 진행방향표시가 설치된 차로의 경우 차량의 운전자는 지정한 통행방법에 따라 통 행하여야 할 주의의무를 부담하므로 우회전표지가 설치된 차로에서 직진한 A차량과 직진 표지가 설치된 차로에서 우회전한 B차량은 모두 지정된 통행방법에 따라 진행하지 아니 한 과실이 인정된다. 다만 직진표지가 설치된 차로에서 우회전한 B차량은 도로의 우측 가장 자리를 따라 우회전하여야 하는 교차로통행방법을 위반한 채 우측차로를 가로지르는 방식 으로 급회전한 과실이 인정되는 점을 고려하여 양 차량의 기본 과실비율을 40:60으로 정 하였다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차11-6","NaN","NaN","NaN","NaN"
73,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 동일 폭의 교차로에서 오른쪽 도로에서 진입하여 직진하는 A차량과 왼쪽 도로에서 진입하여 직진하는 B차량이 충돌한 사고이다.","⊙신호기가 없는 동일 폭의 교차로에서 동시 진입한 (가) 경우 도로교통법 제26조 제3항에 따라 오른쪽 도로에서 진입하여 진행한 A차량에게 통행우선권이 있으나, A차량도 동법 제31조에 따라 교차로 진입 전 서행 또는 일시정지를 준수하여야 할 주의의무가 있으므로 양 차량의 기본 과실비율을 40:60으로 정한다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","차12-1","NaN","NaN","NaN","NaN"
74,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 다른 폭의 교차로에서 폭이 넓은 도로 (대로)를 이용하여 직진하는 A차량과 상대적으로 폭이 좁은 도로(소로)를 이용하여 직진 하는 B차량이 충돌한 사고이다.","⊙신호기가 없는 다른 폭의 교차로의 경우 도로교통법 제26조 제2항에 따라 대로를 진행하는 A차량에게 통행우선권이 있으나, A차량도 동법 제31조에 따라 교차로 진입 전 서행 또는 일시정지를 준수하여야 하는 주의의무가 있어, 동시 진입한 (가)의 경우 양 차량의 기본 과실비율을 30:70으로 정하였다. ⊙소로를 진행하는 B차량이 후진입한 (나)의 경우에는 동조 제1항에 따라 (가)보다 과실을 가중하여 양 차량의 기본 과실비율을 20:80으로 정하였다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","차12-2","NaN","NaN","NaN","NaN"
75,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 동일 폭의 교차로에서 우회전하는 A차량과 A차량의 진행방향 왼쪽 도로에서 직진 진입하는 B차량이 충돌한 사고이다.","⊙동일 폭의 교차로에서는 도로교통법 제26조 제3항에 따라 오른쪽에서 진입한 차량에게 통행 우선권이 있으나, 우회전을 하는 경우에는 직진하는 차량의 진로상에 진로를 변경하여 들어가기 때문에 직진보다 주의의무가 크므로 이를 감안하여 양 차량의 기본 과실비율을 60:40으로 정한다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","차13-1","NaN","NaN","NaN","NaN"
76,"⊙신호기에 의해 교통정리가 이루어지고 있지 않은 교차로에서 1차로를 따라 직진하다가 교차로 내에서 2차로로 진로변경을 하는 A차량과 A차량의 진행방향 우측도로에서 우회전을 하는 B차량이 충돌한 사고이다.","⊙A차량은 전방 신호에 의하여 보호받지 못한 채 교차로에 진입하여 직진하다가 진로변경을 하였다는 점, 직진차량이 모든 차로를 우회전차량보다 우선적으로 통행할 수 있다고 볼 근거는 없으며 B차량으로서는 좌측 도로에서 1차로를 따라 직진 중인 A차량이 2차로로 진로변경을 할 것까지 대비하기는 어렵다는 점, 도로교통법 제26조 제3항의 해석상 B차량 이 A차량의 우측도로에서 교차로에 진입하고 있으므로 B차량에게 통행우선권이 있다고 볼 수 있는 점을 종합하면, A차량의 과실이 B차량보다 더 크다고 보아야 할 것이다. 다만, B차량도 교차로 진입 전에 전방 좌측에서 직진중인 A차량을 발견하고 그 진로를 계속 예의 주시하면서 안전하게 우회전을 하여야 할 주의의무가 있다는 점을 고려할 때, 양 차량의 기본 과실비율을 60:40으로 정하였다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","차13-2","NaN","NaN","NaN","NaN"
77,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 다른 폭의 교차로에서 소로에서 대로로 우회전하는 A차량과 A차량의 진행방향 왼쪽 대로에서 직진하는 B차량이 충돌한 사고이다.","⊙우회전 A차량이 소로에서 진행하고 직진 B차량이 대로에서 진행한 점을 감안하여 양 차량의 기본 과실비율을 70:30으로 정한다.","차13-3","NaN","① 신호기 없는 교차로이므로 도로교통법 제31조에 따라 모든 차량은 서행을 하여야 할 것이나 서행하지 않는 경우에는 과실을 가산할 수 있다. ② 도로교통법 제25조 제1항에 따라 우회전차량은 도로 오른쪽 가장자리로 우회전하여야하나 이를 위반하여 중앙선 쪽으로 크게 우회전한 경우에는 과실을 가산할 수 있다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
78,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 다른 폭의 교차로에서 대로를 진행하다가 소로로 우회전하는 A차량과 A차량의 진행방향 왼쪽 소로에서 직진하는 B차량이 충돌한 사고이다.","⊙우회전 A차량이 대로를 진행하고 직진 B차량이 소로에서 진행한 점을 감안하여 양 차량의 기본 과실비율을 30:70으로 정한다.","차13-4","NaN","① 신호기 없는 교차로이므로 도로교통법 제31조에 따라 모든 차량은 서행을 하여야 할 것이나 서행하지 않는 경우에는 과실을 가산할 수 있다. ② 도로교통법 제25조 제1항에 따라 우회전차량은 도로 오른쪽 가장자리로 우회전하여야 하나 이를 위반하여 중앙선 쪽으로 크게 우회전한 경우에는 과실을 가산할 수 있다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
79,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 동일폭의 이면도로 사거리(삼거리) 교 차로에서 우회전하는 A차량과 A차량의 진행방향 우측 도로에서 우→좌 방향으로 직진 하는 B차량이 충돌한 사고이다.","⊙동일 폭의 교차로에서는 도로교통법 제26조 제3항에 따라 우측도로에서 진입한 B차량 에게 통행우선권이 있고, 또한 우회전을 하는 경우에는 직진하는 B차량의 진로상에 진로 를 변경하여 들어가기 때문에 직진보다 주의의무가 크므로, 이를 감안하여 양 차량의 기본 과실을 70:30으로 정한다. ⊙삼거리 교차로의 경우도 B차량에게 우측도로 및 직진 통행우선권 요소를 모두 반영하였 고, 사거리 교차로와 비교하여 볼 때, 우회전 차량에 대한 주의의무는 크게 다르지 않으 므로, 삼거리 교차로 요소를 추가로 반영하지 않고 사거리 교차로의 경우와 동일하게 양 차량 의 기본과실을 70:30으로 정한다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","차14-1","NaN","NaN","NaN","NaN"
80,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 교차로에서 직진하는 A차량과 맞은편 주행방향에서 좌회전하는 B차량이 충돌한 사고이다.","⊙도로교통법 제26조 제4항에 따라 좌회전 차량은 직진차량에게 양보할 의무가 있으므로 좌회전차량인 B차량의 과실이 중하다고 할 것이지만, A차량도 동법 제31조에 따라 교차로 진입 전 서행 또는 일시정지를 준수하고 전방 및 좌우를 주의해야 하는 의무가 있어 양 차량의 기본 과실비율을 30:70으로 정하였다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","차15-1","NaN","NaN","NaN","NaN"
81,"NaN","NaN","차16-1","NaN","NaN","NaN","NaN"
82,"NaN","NaN","차16-2","NaN","NaN","NaN","NaN"
83,"NaN","NaN","차16-3","NaN","NaN","NaN","NaN"
84,"NaN","NaN","차16-4","NaN","NaN","NaN","NaN"
85,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 다른 폭의 교차로에서 소로를 이용하여 직진하는 A차량과 A차량의 진행방향 왼쪽 대로에서 소로로 좌회전하는 B차량이 충돌한 사고이다.","⊙소로 직진차량인 A차량이 오른쪽 도로에서 진입한 차량이므로, 도로교통법 제26조 제3항을 감안하여 왼쪽 도로에서 진입한 B차량의 과실이 약간 크다고 보아 양 차량의 기본 과실 비율을 45:55로 정하였다.","차16-5","NaN","① B차량이 명확히 선진입하여 좌회전 완료한 직후 상황임을 감안하여 B차량 과실을 감산할 수 있다. 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
86,"⊙신호기에 의해 교통정리가 이루어지고 있지 않는 동일 폭의 교차로에서 좌회전하는 A차량과 A차량의 진행방향 왼쪽 도로에서 좌회전 진입하는 B차량이 충돌한 사고이다.","⊙신호기가 없는 동일 폭의 교차로에서 동시 좌회전 진입한 경우 도로교통법 제26조 제3항에 따라 오른쪽 도로에서 진입한 A차량에게 통행우선권이 있으나 A차량도 동법 제25조 제2항 및 제31조에 따라 교차로 진입 전 서행 또는 일시정지를 준수하고 전방·좌·우를 주의해야 하는 의무가 있어 이를 고려 양 차량의 기본 과실비율을 40:60으로 정한다.","차17-1","NaN","① 도로교통법 제25조 제2항에 따라 좌회전차량은 미리 도로의 중앙선을 따라 서행하면서 교차로의 중심 안쪽을 이용하여 좌회전하여야 하고, 동법 제38조 제1항에 따라 좌회전을 제1장. 자동차와 보행자의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
